Homo sapiens,Caenorhabditis elegans,Relations,ID
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,179339,n:m,
92815,172860,n:m,
128312,175026,n:m,
128312,175026,n:m,
128312,175026,n:m,
128312,186326,n:m,
128312,175026,n:m,
128312,175026,n:m,
128312,186326,n:m,
128312,186326,n:m,
128312,186326,n:m,
128312,191670,n:m,
128312,CAEEL14858,n:m,
128312,191670,n:m,731230
128312,191670,n:m,
128312,191670,n:m,
128312,191670,n:m,
128312,179340,n:m,
128312,191670,n:m,
58480,184848,01:01,
5867,184331,01:01,
23456,178522,1:m,
23456,180056,1:m,593606
2590,180302,01:01,771055
22796,177473,01:01,
10753,175326,n:m,
10753,190738,n:m,747399
HUMAN02639,187628,01:01,
440730,178619,n:1,
149371,173320,01:01,945125
3775,180252,01:01,824169
148641,177408,n:1,857799
9804,179691,01:01,
6905,177624,01:01,947893
4811,179770,n:1,
56605,173325,n:1,
88,179709,n:1,
4548,174681,01:01,873239
6262,CAEEL14390,n:1,
1131,179962,n:1,594988
6000,179707,n:1,773977
2271,176059,01:01,958658
8564,179657,01:01,713388
1122,175311,n:1,953839
441925,177345,n:1,902400
200150,174179,01:01,
10000,179424,n:m,594553
10000,181524,n:m,
159,178872,n:1,
51097,184861,1:m,
51097,178692,1:m,745008
26246,183703,01:01,
22982,3565539,n:1,593974
23560,176863,01:01,952612
91734,176142,n:1,828140
3422,176142,n:1,
22884,175774,01:01,597840
5214,180583,n:1,
2665,178402,n:1,
84991,178091,01:01,
5209,172147,n:m,759745
5209,177363,n:m,
5588,176825,n:1,
22944,173005,01:01,536676
509,177038,01:01,904277
83860,181704,01:01,
10659,173401,n:1,
79746,3564942,01:01,954551
26019,177397,01:01,538199
55526,179674,01:01,959562
55176,178407,n:1,958339
HUMAN02872,189126,01:01,
57118,176989,n:1,
55388,176562,01:01,
5264,178503,01:01,569134
22929,189912,n:1,
8559,177840,01:01,899759
9397,175861,n:1,
8516,176240,n:1,938690
6251,175451,01:01,596639
8029,179729,01:01,
8027,172264,n:1,594302
221079,176392,n:1,
84898,175518,01:01,871205
10529,185685,n:1,598064
64215,176241,01:01,939171
5305,175344,n:1,538210
56952,173323,n:1,
2572,176713,n:1,
23590,172190,01:01,
10006,175789,n:1,
374308,171950,1:m,883395
374308,172229,1:m,
374308,191746,1:m,
374308,181584,1:m,
22931,175272,01:01,564964
143098,190302,n:1,921142
3799,176179,n:1,
3688,175504,01:01,596389
8453,CAEEL09313,01:01,539581
219771,176188,n:1,764472
8325,178768,n:1,
9790,178851,01:01,724766
221002,177527,n:1,805122
100287932,173041,01:01,
26095,188965,01:01,
2662,177719,01:01,938173
5599,177460,n:1,
1103,24105307,01:01,853482
6572,24105312,01:01,
55753,177235,n:1,
5592,176991,n:1,
7019,177543,01:01,
288,173360,01:01,
983,176374,01:01,
29119,179624,n:1,
64081,188042,1:m,862280
64081,178200,1:m,
64081,188042,1:m,
64081,178200,1:m,
64081,24104785,1:m,
55680,175823,01:01,
1763,CAEEL05948,01:01,897293
6832,CAEEL11645,01:01,812434
1305,185112,01:01,
56681,177217,n:1,853158
55222,178213,01:01,594488
140766,181022,n:m,
140766,181412,n:m,
8879,176857,01:01,
5092,188368,01:01,
219699,177334,n:1,
HUMAN03259,177651,01:01,
51008,182817,01:01,925832
HUMAN03269,178040,n:1,951943
HUMAN03270,178287,01:01,
90550,177362,01:01,576399
5033,176569,n:m,
5033,178170,n:m,
23234,174451,01:01,898456
51021,3565469,01:01,594441
310,176446,n:1,594370
5532,177943,n:1,
9632,178078,n:1,593778
23053,177915,01:01,
8509,177675,n:1,810309
HUMAN03303,177921,n:1,
7414,177482,01:01,917594
26985,186194,n:1,590080
132,178028,01:01,862873
HUMAN03318,180524,01:01,764611
7417,177524,n:1,960393
118881,189789,1:m,
118881,178684,1:m,
118881,189785,1:m,
118881,189563,1:m,
84858,176265,01:01,
3778,180203,01:01,881609
11128,177491,01:01,956664
10105,179936,n:m,
10105,180027,n:m,
10105,180028,n:m,
143244,174367,n:m,
143244,176373,n:m,
311,176446,n:1,
4143,177354,n:m,953281
4143,177355,n:m,
4143,177389,n:m,
4143,181370,n:m,
84293,174555,01:01,823301
81619,177890,n:1,
27069,176892,01:01,949876
2746,178130,n:1,950077
9060,177893,n:1,
84896,177896,01:01,
142910,178563,n:m,
142910,178572,n:m,
142910,179046,n:m,
142910,CAEEL14391,n:m,
142910,185840,n:m,
142910,179771,n:m,
8513,178563,n:m,882608
8513,178572,n:m,
8513,179046,n:m,
8513,CAEEL14391,n:m,
8513,185840,n:m,
8513,179771,n:m,
643414,178563,n:m,
643414,178572,n:m,
643414,179046,n:m,
643414,CAEEL14391,n:m,
643414,185840,n:m,
643414,179771,n:m,
643418,178563,n:m,
643418,178572,n:m,
643418,179046,n:m,
643418,CAEEL14391,n:m,
643418,185840,n:m,882610
643418,179771,n:m,
340654,178563,n:m,
340654,178572,n:m,
340654,179046,n:m,
340654,CAEEL14391,n:m,
340654,185840,n:m,
340654,179771,n:m,
9023,185268,01:01,
3988,178563,n:m,
3988,178572,n:m,882614
3988,179046,n:m,
3988,CAEEL14391,n:m,
3988,185840,n:m,
3988,179771,n:m,
9044,174965,01:01,
3416,CAEEL04935,1:m,
3416,178966,1:m,852433
3416,182128,1:m,
3416,CAEEL14177,1:m,
3416,190566,1:m,
3087,171689,01:01,
54536,181131,n:1,
26509,172659,n:1,
118924,7040127,01:01,783041
51196,181274,01:01,
64318,178874,01:01,941614
1562,185653,n:m,
1562,183602,n:m,
1562,178704,n:m,
1562,181848,n:m,
1562,187209,n:m,
1562,182888,n:m,
1562,188399,n:m,
1562,187025,n:m,
1562,187183,n:m,
1562,187573,n:m,
1559,185653,n:m,
1559,183602,n:m,
1559,178704,n:m,
1559,181848,n:m,
1559,187209,n:m,
1559,182888,n:m,
1559,188399,n:m,
1559,187025,n:m,
1559,187183,n:m,
1559,187573,n:m,
1558,185653,n:m,
1558,183602,n:m,
1558,178704,n:m,
1558,181848,n:m,
1558,187209,n:m,
1558,182888,n:m,
1558,188399,n:m,
1558,187025,n:m,
1558,187183,n:m,
1558,187573,n:m,
5832,181417,01:01,955695
7093,CAEEL20699,n:1,
56889,176983,01:01,576479
6585,181562,n:1,602038
23223,266878,01:01,960194
51013,176532,01:01,
84287,183426,01:01,
55361,179839,n:1,
401647,178394,n:1,922310
84795,177147,01:01,953827
2805,181726,01:01,885544
81894,174752,n:1,
57089,177567,n:m,778815
57089,180860,n:m,
51076,176186,01:01,816476
1355,174712,01:01,954452
1369,177940,n:1,
10613,178178,n:1,
55280,179000,01:01,593791
282991,177395,01:01,761457
9033,178424,n:1,836084
